                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74171,                  1.705,                 1.2247,                0.63864,                0.52419,                0.56307,                0.42984,                0.84808,                 2.2118,                 1.3581,                0.00058,                0.00058,                0.00058
                      2,                0.75253,                 1.2878,                 1.2222,                0.63145,                 0.6371,                0.65383,                0.51004,                0.80278,                 1.7222,                 1.3176,              0.0005959,              0.0005959,              0.0005959
